,rms_level,spectral_centroid,bandwidth,zero_crossing_rate,band_energy_ratio,delta_spectrum_magnitude,pitch,pitch_strength,average_roughness,std_roughness,one_2hz_loudness,three_15hz_loudness,twenty_43hz_loudness,sharpness,gamma_0Hz_energy,gamma_3-15Hz_energy,gamma_20-150Hz_energy,gamma_150-1000Hz_energy,cluster_kmeans
1225,0.15433359,1830.633615705637,2304.718797194819,0.0693188056525468,1.6257976644514724,-0.0002555590368774,12.2616697593016,0.2775291449560242,0.0010797285938116,0.0328592238771953,0.0,0.0004523583214448,0.0004357224385978,0.1660438653699752,7.430851335700978e-06,0.0003017129647077,1.1464435973121394,8.659400249222955,1
1226,0.14150435,1263.692071302749,1646.996339761086,0.063957169723544,1.8893977323215556,-0.0003430690765632,11.669299738656502,0.2305387020698941,0.0008830888851929,0.0297168114910228,0.0,0.0007552320762994,0.0005942873715487,0.1146206155840196,1.2083608539068643e-06,0.0009883272310626,1.0791123459402154,12.52273254370882,1
1227,0.20684876,2313.6227197232874,2645.76974760271,0.0837270486062778,1.7223331833593722,-0.0002483244819816,15.573629462671612,0.276114812920655,0.002307456440299,0.0480359910931272,0.0,0.0018391725484657,0.0025344303129949,0.2098524008817404,2.176073546319743e-05,0.0002962587498273,0.0659208450651793,11.21585961838,0
1228,0.26699513,1816.652789364224,2615.871622326022,0.0513684673793655,2.374116322247564,0.0003648047600619,4.9264093713269705,0.3077341839768948,0.0019675167731202,0.0443566993037156,0.0,0.001273178584885,0.0018016496613802,0.1647757632074899,2.034375292679241e-05,0.0002762822095787,1.8148806725813271,14.211216144836756,0
1229,0.24294719,2045.62531552549,2394.093042793556,0.0810244145517597,1.652036258941468,-0.0002436835705672,20.500016444107533,0.3984960791385723,0.0032290831654465,0.0568250223532431,0.0,0.0014087766855128,0.0059968596873605,0.1855442463059985,3.053510305223813e-05,0.0040122220720146,0.5433048454365017,5.989754249702203,0
1230,0.2980357,2200.519292502161,2497.465895505916,0.0920657643850164,1.7427285510343231,7.962605181926348e-05,30.524514199259013,0.594246422441722,0.0047226226525862,0.0687213405907234,0.0,1.081376612264313,0.5049589603619733,0.1995935866213302,0.0165336413827881,0.455295227606412,2.8740161120316965,19.8539384780196,0
1231,0.26895553,1922.2149425973787,2380.8331196417157,0.0738936418210629,1.705808722136828,3.65581008007585e-05,15.945396027554336,0.3852670287722388,0.0035908823539456,0.059923971446706,0.0,3.4934834247717106e-05,3.433919254517234e-05,0.1743505616866789,1.423252139120586e-06,1.8317970217459613e-05,0.7303443241846147,8.181447476649105,0
1232,0.2816954,2163.99283348592,2540.3057257835244,0.0842486720474613,1.6182831844244143,-3.098357662504329e-05,21.89169288649212,0.4412020827862473,0.0040393767209322,0.0635560911394983,0.0,3.347810101365666e-05,1.6754291953491116e-05,0.1962805291141911,8.622974101969244e-07,1.5540862608974417e-05,0.5324548318711925,4.878228361957837,0
1233,0.27506942,1947.5902820213043,2443.4202963105777,0.0763351547160694,1.9081092310504009,-0.000656755102792,16.852067979191855,0.4415349410758119,0.0028771012440689,0.0536386170969104,0.0,0.8735470183335389,3.4541409507248284,0.1766521797750148,0.0130498186094092,0.3391079233423902,1.9427895349012383,13.770763861305984,0
1234,0.08850788,1743.1988868954486,1726.9855334180857,0.0932243092524111,1.8603028888560136,0.0008545822602823,16.973586110069157,0.1396546451195598,0.0012496382849909,0.0353502232664936,0.0,0.016123588081628,0.0089300507325817,0.1581132777227997,0.0,0.0411228314248272,0.6182924426417649,5.359901497553076,1
1235,0.11257214,1926.1772389498185,2164.78569611977,0.0783377451504431,1.4431698288948087,0.0,15.82543131022965,0.1528504427150231,0.0009957875977644,0.0315561023855052,0.0,0.0,0.0,0.1747099536460835,0.0,0.0,0.9402759090146916,8.483984406449885,1
